title,target
泛在环境下图书馆企业竞争情报服务模式研究,"[1]基于高校图书馆的企业情报服务平台研究[J].彭晓东,王茂林.情报理论与实践.2011(02)
[2]基于图书馆的企业信息需求服务研究[J].熊冬萍,程结晶,张方.图书馆理论与实践.2010(02)
[3]高校图书馆为企业提升竞争能力提供信息服务的探讨[J].吴小璐.情报杂志.2009(S2)
[4]泛在知识环境下图书馆信息资源建设策略探析[J].孙波.图书馆学研究.2009(09)
[5]企业竞争情报研究与图书馆情报服务[J].许真玉,王文佳,杨晓玉.现代情报.2006(11)
"
台湾《中文图书分类法》通用复分表评介,"[1]面向数字环境的《中图法》通用复分表修订思考[J].薛春香,侯汉清.中国图书馆学报.2009(06)
[2]台湾地区文献分类法厘订特色探析[J].黄建年.大学图书馆学报.2009(03)
[3]革故鼎新继往开来——《中国图书分类法》在台湾的承传与创新[J].黄建年.中国图书馆学报.2009(03)
[4]新版《中图法》通用复分表修订特色[J].周冰.江苏图书馆学报.2000(05)
[5]《中国图书分类法》在台湾省的发展和应用[J].戴维民.黑龙江图书馆.1986(04)
"
网络时代下的图书馆图书推荐模式,
图书情报机构联盟嵌入社会网络业务模式创新研究,"[1]区域图书情报机构联盟嵌入人际网络的信息服务模式研究[J].宋海沂.图书情报知识.2011(03)
[2]基于社会化群体作用的信息聚合服务[J].胡昌平,胡吉明,邓胜利.中国图书馆学报.2010(03)
[3]社会化标注理论研究综述[J].魏建良,朱庆华.中国图书馆学报.2009(06)
[4]论图书馆与社会网络的互动[J].杨九龙,杨雪琴.情报杂志.2009(09)
[5]图书馆人际网络分析[J].杨巧云,苏海潮.图书与情报.2008(02)
[6]个性化知识服务中基于Ontology的用户兴趣挖掘研究[J].左晖,张玉峰,艾丹祥.情报学报.2008
(01)
"
数字图书馆的模糊综合评价研究,"[1]我国图书馆评价研究热点及趋势分析[J].宋乐平.图书馆建设.2011(05)
[2]基于信息构建的数字图书馆评价体系研究[J].张玉兰,郑春厚.图书馆学研究.2008(03)
[3]高校数字图书馆评价指标体系研究[J].安娜.现代情报.2007(05)
[4]重构图书馆评价体系的研究[J].谢友宁.江苏图书馆学报.1999(04)
"
高校图书馆文献传递服务模式研究——以南京农业大学图书馆为例,"[1]基于中介式文献传递的用户馆服务系统研制[J].陈蓉蓉,唐惠燕,毛莉菊.现代图书情报技术.2008(02)
[2]我国文献传递服务的定价机制探讨[J].陈益君,叶新明.图书情报知识.2002(06)
[3]我国高校图书馆网络文献传递服务存在问题的思考[J].闻福曙.图书馆杂志.2002(08)
[4]数字信息资源的开发与利用研究[M].武汉大学出版社,王云娣,胡秀青,黄光明编著,2005
[5]http://www.digilib.sh.cn/dl/index.ht.2009
"
浅析查新管理系统对提高查新质量与效率的作用,"[1]多校区环境下科技查新管理系统的构建——以南京大学图书馆为例[J].马骅,朱伟伟.图书馆学研究.2010(03)
[2]科技查新档案管理之我见[J].孙向丽.科技情报开发与经济.2009(16)
[3]当前形势下高校图书馆科技查新服务的新特点与新对策——以中国农业大学图书馆为例[J].焦艳平,潘薇,左文革,孙彩霞.农业网络信息.2009(01)
[4]浅议科技查新信息管理系统的建立[J].郑玲,李丰男,番颖芳.江苏科技信息.2008(11)
[5]建立高校科技查新项目管理数据库的必要性和可行性分析[J].王寻,董月玲,张丽英,王晓丽.科技情报开发与经济.2008(24)
[6]基于UML的科技查新综合业务管理系统的设计与实现[J].王权,张缨.甘肃科技.2008(16)
[7]科技查新档案的管理与利用[J].陈秀莲,莫彬.科技经济市场.2008(07)
[8]情报查新咨询管理信息系统的研发[J].吴玲.科技情报开发与经济.2007(21)
[9]科技查新信息管理系统的设计与实现[J].袁润,周金元,卢章平.现代情报.2007(07)
[10]浅析《科技项目查新委托书》对查新质量的影响[J].王淑琴.医学情报工作.2004(02)
[11]科技查新管理研究[D].张静.黑龙江大学2007
"
模糊综合评判在图书馆馆员绩效考评中的应用,"[1]图书馆岗位量化考核的研究[J].赵卫利.科技情报开发与经济.2009(29)
[2]浅析图书馆绩效考核的问题及措施[J].李文红.内蒙古科技与经济.2009(17)
[3]高校图书馆员工绩效管理浅析[J].谭文华,成涛.湘潭师范学院学报(社会科学版).2008(03)
"
图书馆在城市和谐社区建设中的作用探究,"[1]探析大学图书馆数字化建设[J].王静.科技资讯.2006(31)
[2]深圳图书馆新馆数字化服务的思考[J].梁奋东.中国图书馆学报.2006(04)
[3]浅谈知识经济和图书馆发展[J].胡婉婷.农业图书情报学刊.2005(04)
[4]互联网历史的寄托——网络时代图书馆的重任[J].周大勇.情报杂志.2000(03)
[5]网络时代图书馆职业的发展趋势[J].杨敏.情报杂志.2000(02)
[6]漫谈高校网络图书馆建设[N].姬志刚.中国电脑教育报.2004
"
图书馆办公室在图书馆日常管理中的重要作用,
高校图书馆读书月活动的研究——以河海大学图书馆为例,"[1]高校图书阅读活动建设探索——沈阳理工大学图书馆读书月活动回探[J].关绍伟.图书馆理论与实践.2011(05)
[2]“深圳读书月”的经验及对高校图书馆开展阅读工作的启示[J].徐春.农业图书情报学刊.2009(08)
[3]高校图书馆读书活动探析[J].黄嘉慧.高校图书馆工作.2009(02)
"
科技查新中与用户信息沟通的重要性,"[1]查新工作也应重视委托书的撰写[J].王耀东.医学信息.2004(08)
[2]浅析用户对医学查新咨询工作的几点错误认识[J].胡玮.医学情报工作.2004(03)
[3]浅析《科技项目查新委托书》对查新质量的影响[J].王淑琴.医学情报工作.2004(02)
[4]对科技查新工作质量保证的探讨[J].刘若兰.贵图学刊.2004(01)
[5]试论农业科技查新的质量控制策略[J].李翠霞,胡美芝.津图学刊.2003(04)
[6]浅议新产品查新[J].糜志勤.现代情报.2003(01)
[7]充分重视用户在查新工作中的作用[J].彭玲,殷红宁,施艳声.预防医学情报杂志.2002(06)
[8]科技查新服务的实践与探索[J].肖红.贵州大学学报(社会科学版).2001(05)
[9]加强与用户沟通突出专家作用[J].钟丽萍.江西图书馆学刊.2001(03)
[10]查新咨询中用户接谈的作用与实践[J].徐波,殷红宇.医学情报工作.1999(05)
"
图书馆微书评工作在数字阅读时代的模式探讨,"[1]图书馆应用微博客的价值分析[J].袁纳宇.图书与情报.2010(03)
[2]图书馆的书评工作[J].张峰.平原大学学报.2006(04)
[3]信息时代的图书馆书评工作[J].陈琳.现代情报.2004(06)
[4]书评推读书读书促书评——谈学校图书馆开展书评活动的功能和应注意的问题[J].陈素香.图书馆研究与工作.2003(02)
"
纸质文献资源与数字文献资源的整合比较研究,"[1]当代图书馆信息资源整合的若干模式[J].刘瑜.图书馆杂志.2010(03)
[2]资源整合视角下的数字图书馆发展方向[J].黄晓斌,夏明春.国家图书馆学刊.2009(04)
[3]跨平台技术在数字图书馆的应用研究[J].李玉海,舒昌俊.图书馆学研究.2009(08)
[4]多相关主题的主题文本资源相关度算法研究[J].裘江南,王带弟,仲秋雁.中国图书馆学报.2009(04)
[5]对大学图书馆资源整合与揭示现状的分析与思考[J].邵晶,阎晓弟,韩萌,魏青山,周琴.大学图书馆学报.2008(05)
[6]合作数字参考咨询服务研究综述[J].王玉晶.图书馆学研究.2008(07)
[7]RSS的应用研究[J].张会娥.图书馆杂志.2005(02)
[8]当代社会需要的目录学[J].夏南强,张炯.大学图书馆学报.2003(05)
[9]论个人数字图书馆[J].陈光祚,阮建海,臧国全.中国图书馆学报.2002(03)
[10]面向用户的信息资源整合与服务[M].武汉大学出版社,胡昌平,2007
"
国内20所高校图书馆网站SEO现状调查研究,"[1]网络营销中搜索引擎优化的研究[J].陆国浩.沙洲职业工学院学报.2011(01)
[2]“网页制作”课程中应加入一些SEO知识[J].唐春林.计算机教育.2009(04)
[3]Perceptionsoflibraries,2010:Contextandcommunity.http://www.oclc.org/asiapacific/zhcn/re-ports/2010perceptions/2010perceptions_all.pd.2012
"
图书馆汇文系统内部表解析及应用,"[1]图书馆管理系统维护点滴[J].朱兰芳.管理科学文摘.2008(04)
[2]国内主要图书馆集成管理系统市场分析及选择原则[J].杨玫.浙江万里学院学报.2006(02)
[3]学位论文数据库结构及应用分析[J].朱兰芳.现代图书情报技术.2005(08)
[4]中国机读目录格式使用手册[M].华艺出版社,北京图书馆《中国机读目录格式使用手册》编委会编,1995
"
图书馆消防安全管理工作之浅谈,"[1]图书馆消防安全:隐患、制度和法律责任[J].段小虎.图书馆理论与实践.2006(04)
[2]大中型图书馆的消防安全控制与管理[J].姚昆兰.云南消防.1999(02)
"
依托信息共享空间推进高校图书馆学科馆员服务,"[1]高校信息共享空间创新建设研究[J].冯晓娜,李志超,刘文云.现代情报.2011(03)
[2]高校图书馆信息共享空间服务质量评价的实证研究——以上海师范大学信息共享空间为例[J].刘晓霞,胡振华,杜慧平,张威.图书情报知识.2010(06)
[3]基于信息共享空间的大学生信息素养的教育与培养[J].张利平,吴秀玲,李福林.现代情报.2010(04)
[4]基于信息共享空间的大学信息素养教育[J].盛兴军.图书情报工作.2010(03)
[5]第二代学科馆员与学科化服务[J].初景利,张冬荣.图书情报工作.2008(02)
[6]学科馆员与重点学科创新服务模式研究[J].钱智勇.情报理论与实践.2004(05)
[7]InformationCommonatDukeUniversity.http://faculty.rwu.edu/smcmullen/Duke.htm.
"
BXP技术在高校图书馆电子阅览室中的应用,"[1]浅谈BXP无盘系统在教学机房中的应用[J].苟洪文,赵伟,李虎.装备制造技术.2009(09)
[2]BXP技术在无盘网络中的应用[J].霍旭光.电脑开发与应用.2008(03)
[3]基于BXP的无盘网络在图书馆的应用及发展[J].董晓燕,黄长,杨伟.图书情报工作.2007(05)
"
基于数据仓库的图书馆决策支持系统的实现与研究,"[1]数据仓库[M].机械工业出版社,(美)[W.H.因曼](W.H.Inmon)著,2000
"
区域图书馆联合体应加强规划与多样性建设,"[1]从联盟到集群管理:区域图书馆信息资源共享的新选择[J].赖辉荣.江西图书馆学刊.2009(03)
[2]集群概念下的区域图书馆生态呈现和行为特征[J].涂中群.情报杂志.2008(11)
[3]区域图书馆:国外经验的启迪[J].涂中群,陈益均.中国科技信息.2005(21)
"
汇文系统下西文期刊回溯建库技巧探究——以河海大学图书馆为例,"[1]浅谈图书馆期刊回溯建库工作的重要性[J].刘荣.科技情报开发与经济.2007(09)
[2]利用汇文系统进行西文期刊回溯建库[J].张婷.昌吉学院学报.2005(03)
[3]外文期刊回溯建库之我见[J].肖丽丹.黔东南民族师范高等专科学校学报.2005(02)
"
高校图书馆读者服务工作的思考,"[1]浅析言语交际在高校图书馆读者服务工作中的作用[J].曾井红.江西金融职工大学学报.2010(04)
[2]现代高校图书馆到馆咨询服务的强化[J].张洁.图书馆建设.2009(12)
[3]高校图书馆流通工作探析[J].李淑珍.内蒙古科技与经济.2009(19)
[4]浅谈高校图书馆流通馆员的综合素质[J].肖兰.科技情报开发与经济.2009(02)
"
高校图书馆读者服务语言技巧探讨,"[1]浅谈语言在馆员与读者沟通中的运用[J].张天宇.科技情报开发与经济.2007(11)
[2]谈高校图书馆服务语言艺术[J].黄晓露.玉林师范学院学报.2004(04)
[3]浅谈图书馆人员语言艺术的运用[J].王久云.贵州教育学院学报(社会科学).2003(06)
[4]服务语言艺术[M].高等教育出版社,黄文清主编,2003
"
中美高校图书馆学科馆员队伍建设与管理比较研究,"[1]美国图书馆的现状及发展趋势[J].张美萍.大学图书馆学报.2010(02)
[2]论信息素质教育与创新人才培养[J].高新陵,吴东敏.情报探索.2009(01)
[3]美国图书馆印象——赴美培训、考察观感[J].钟宇.新世纪图书馆.2008(03)
"
高校图书馆读者满意度的实证研究,"[1]AHP及模糊综合评价法在电子资源评价中的应用[J].温东琰,于光.现代情报.2006(08)
[2]美国图书馆评估、管理经验介绍[J].田继壮.浙江高校图书情报工作.2006(01)
[3]读者满意度测评方法研究[J].彭冬莲,彭备芳.图书馆学研究.2005(08)
[4]图书馆读者满意度的模糊综合评判[J].马晓英,张国海,庞海珍,王兰华,李晓辉.河北科技师范学院学报.2004(03)
[5]图书馆读者服务质量评价指标及方法研究[J].杜也力.图书馆杂志.2002(12)
[6]高校图书馆读者满意度测评研究[D].陈添源.湘潭大学2008
"
图书馆员的职业生涯规划研究,"[1]再论高校图书馆绩效考评[J].全昌淑,金海燕.当代图书馆.2010(03)
[2]略论图书馆员的职业生涯设计[J].孟建华.图书馆论坛.2007(02)
[3]论图书馆馆员职业素质的培养[J].周文军.教育与职业.2006(29)
[4]赋予时代特色的图书馆人力资源管理研究[D].但碧霞.华南师范大学2005
"
基于问题的水利文献信息系统服务模式研究,"[1]信息服务模式研究[J].陈建龙.北京大学学报(哲学社会科学版).2003(03)
[2]Developingthecausalmodelofon-linestoresuccess.CheolhoYoon,SanghoonKim.JournalofOrganizationalComputing&Elec-tronicCommerc.2009
[3]Perceivedvalueforcustomersininformationsharingservices.YiMingTai.IndustrialManagement&DataSystem.2011
"
西文期刊回溯建库的实践与思考,"[1]利用汇文系统进行外文图书回溯建库的实践[J].吴波.情报探索.2007(11)
[2]西文期刊编目探讨[J].赵光林.国家图书馆学刊.2003(03)
[3]网上套录编目探析[J].路一.图书馆论坛.2001(01)
"
高校图书馆流媒体信息服务模式初探——以南京地区部分高校实践为例,"[1]流媒体技术及其在图书馆中的应用[J].田阳.图书馆.2008(01)
[2]高校数字图书馆信息资源建设研究[J].韩凤华.科技情报开发与经济.2007(07)
[3]远程教育中的流媒体技术应用[J].周仲文.现代远程教育研究.2007(01)
[4]网络电视:展现一个新奇的世界[J].宁益刚,杨超.中国有线电视.2001(16)
"
高校图书馆文献传递服务现状分析,"[1]我国文献传递服务的定价机制探讨[J].陈益君,叶新明.图书情报知识.2002(06)
[2]我国高校图书馆网络文献传递服务存在问题的思考[J].闻福曙.图书馆杂志.2002(08)
[3]我国图书馆文献传递服务研究[D].范丽莉.武汉大学2004
[4]数字信息资源的开发与利用研究[M].武汉大学出版社,王云娣,胡秀青,黄光明编著,2005
"
学科分类的实践及思考,"[1]对我国开展一级学科下自主设置学科专业工作的分析与思考[J].梁传杰,胡江华.中国高教研究.2005(09)
[2]中国图书资料分类法[M].科学技术文献出版社,中国图书资料分类法编辑委员会编,2000
"
学科分类的实践及思考,"[1]对我国开展一级学科下自主设置学科专业工作的分析与思考[J].梁传杰,胡江华.中国高教研究.2005(09)
[2]中国图书资料分类法[M].科学技术文献出版社,中国图书资料分类法编辑委员会编,2000
"
高校图书馆参考咨询人员绩效评价指标体系研究,"[1]图书馆人力资源管理绩效评价问题分析[J].区旭坤.图书馆论坛.2010(04)
[2]基于ISO11620图书馆绩效指标的层次分析法评价模型研究[J].易程,李春.大学图书馆学报.2010(02)
[3]运用层次分析法进行高校图书馆员绩效评价[J].张丹.山东工商学院学报.2009(03)
[4]高校图书馆学科馆员服务质量评价研究[J].廉立军.图书馆理论与实践.2008(01)
[5]关于建立图书馆参考咨询绩效评估制度的探索[J].胡玉文.深图通讯.2005(04)
[6]Informationanddocumentation—Libraryperformanceindicators.ISO11620:1998
.2011
[7]Measuring:internationalguidelinesforperformancemeasurementinacademiclibraries.PollRoswitha.http://catalogue.nla.gov.au/Record/1387155
.2010
"
图书馆馆编导读刊物刍议,"[1]试论图书馆刊的兴办价值与编辑理念[J].许勇.世纪桥.2010(15)
[2]馆刊在推广阅读中的作用浅议——来自太仓市图书馆的体会[J].王雪春.图书与情报.2010(04)
[3]图书馆导读方法与策略[M].暨南大学出版社,林运卓编著,2005
"
分层构建多重嵌入  迭代优化桥接细化——江苏省高校图书馆联盟网络化建设研究,"[1]国内区域图书馆联盟建设与发展研究[J].张甫,吴新年,张红丽.情报杂志.2011(08)
[2]人际情报网络研究综述[J].冷维森,杨海平.图书馆理论与实践.2009(04)
[3]技术联盟:图书馆数字化建设协作的新发展[J].周玉陶.图书情报工作.2008(09)
[4]数字文献资源的整合与服务——以江苏省高校文献资源保障体系建设为原型的个案研究[J].郑建明.大学图书馆学报.2007(05)
[5]高校区域教学联合体文献资源共享运行模式研究[J].范亚芳.图书情报工作.2007(08)
[6]论图书馆服务链体系模型[J].曹作华,石付恒,朱世平.图书情报工作.2007(06)
[7]JALIS对江苏地区高校图书馆数字化建设的影响[J].吴春明,周玉陶.图书情报工作.2006(02)
[8]图书馆联盟的构建模式和发展机制研究[J].燕今伟.中国图书馆学报.2005(04)
[9]JALIS:基于Z39.50的新一代文献信息系统[J].黄伟红,戚广智,张福炎.计算机应用与软件.2001(11)
[10]图书馆联盟——实现资源共享和互利互惠的组织形式[J].戴龙基,张红扬.大学图书馆学报.2000(03)
[11]AcademicLibraryConsortiainSouthAfrica:WhereWeComeFromandWhereWeareHeading[J].GwendaThomas,InaFourie.&nbspTheJournalofAcademicLibrarianship.2006
(4)
[12]AcademicLibraryConsortiainSouthAfrica:WhereWeComeFromandWhereWeareHeading.GwendaThomas,InaFourie.JournalofAcademicLibrarianshi.2006
"
社会网络理论及其工具支持下的高校图书馆联合参考咨询模式研究,"[1]科技资源共享中“桥”的应用——基于人际网络“结构洞”理论的研究[J].刘广为,杨雅芬,张文德.图书情报工作.2009(20)
[2]个人人际网络特征对虚拟团队成员绩效影响的实证研究[J].陈璐,赵峥,井润田.管理学报.2009(09)
[3]博客在参考咨询工作中的应用[J].邢明旻.情报资料工作.2007(05)
[4]论图书馆服务链体系模型[J].曹作华,石付恒,朱世平.图书情报工作.2007(06)
[5]结构洞[M].格致出版社,(美)伯特,2008
[6]Thestrengthofweakties.GranovetierMS.TheAmericanJournalofMedicin.
[7]Virtualteams:Reachingacrossspace,timeandorganizationswithtechnology.LipnackJ,StampsJ..1997
[8]Thenetworkstructureofsocialcapital.BurtRS.ResearchinOrganizationalBehavio.2000
[9]CollaborationastheNorminReferenceWork.JeffreyPomerantz.Reference&UserServicesQuarterl.2006
"
学术不端检测对图书馆工作的影响,"[1]图书馆数据安全漏洞分析[J].朱兰芳.网络财富.2009(01)
"
科技查新质量评价指标标准值确定方法的研究,"[1]科技查新质量评价指标体系探讨[J].孙清玉.情报科学.2009(05)
[2]关于查新报告质量评定标准的探讨[J].马景娣,缪家鼎.情报科学.2005(11)
[3]查新报告质量评定标准[J].丁蕴一,张伯秋,陈巨,王晓原.情报科学.2004(10)
[4]天津市医药卫生科技项目查新咨询质量控制系统[J].郭良玉,刘宝祥,翁铭庆.图书馆工作与研究.2003(03)
[5]查新咨询质量评价指标体系研究——指标体系的主因素及其约束[J].杨传瑞.医学情报工作.2001(05)
[6]卫生部医药卫生科技项目查新咨询工作考核评估指标体系及其实施研究[J].王汝宽,刘俊立,马智,于清涛,李海燕.医学情报工作.2001(03)
"
非书资源管理系统的应用与研究,"[1]图书馆多媒体资源管理与服务平台建设实践——以清华大学图书馆为例[J].任平,林佳,赵呈刚.现代图书情报技术.2007(06)
"
网络环境下优化高校图书馆流通工作的思考,"[1]高校图书馆流通部做好读者服务工作的重要性[J].吴坤玲.科技情报开发与经济.2009(07)
[2]网络环境下高校图书馆流通部的读者服务[J].欧阳碧辉.网络财富.2009(01)
[3]网络环境下高校图书馆流通服务工作的创新[J].王丽芳.科技情报开发与经济.2007(32)
[4]高校图书馆流通服务工作的思考[J].臧英杰.沈阳工程学院学报(社会科学版).2007(03)
[5]图书馆流通工作中存在的问题探析[J].姜正云.图书馆杂志.2007(06)
[6]网络时代图书馆参考咨询服务新探[J].孔德利.图书馆工作与研究.2005(05)
"
图书采购招标评标优化决策模型研究,"[1]试析高校图书馆图书采购招投标中供应商的选择[J].谢小梅.图书馆论坛.2006(03)
[2]高校图书馆图书的招标采购[J].王巧萍.图书馆论坛.2005(03)
[3]采访质量影响指标的综合评价[J].苏开颜.图书馆建设.2003(01)
[4]TheAnalyticHieracrhyProcess:Plnnaing,PrioritySetting,ResoureeAllocation.SaatyTL..1980
"
提高科技论文关键词标引质量的探讨,"[1]学术论文关键词的概念及标引方法辨析[J].吴立志.现代情报.2009(06)
[2]基于序期望效用的洪水保险需求研究[J].吴秀君,王先甲.水利经济.2009(03)
[3]基于农田高程信息快速采集系统的平整精度评价方法[J].贾文涛,刘峻明,于丽娜.中国土地科学.2009(05)
[4]主题词、自由词、关键词标引的问题及对策[J].熊定富.重庆图情研究.2007(03)
[5]科技论文关键词的正确标引[J].胡玲玲,许征尼.编辑学报.2005(02)
[6]对科技论文依据《汉语主题词表》标引关键词问题的思考[J].陆艾五,潘建农.编辑学报.1998(03)
[7]科技论文的关键词标引[J].周芬娜.编辑之友.1997(03)
[8]三维非均质岩体各向异性渗流场分析[J].肖明.武汉水利电力大学学报.1995(04)
[9]科技期刊编辑工作中的主题标引[J].马敏峰,高渭文.编辑学报.1994(01)
"
《中国图书馆分类法》(第5版)通用复分表修订评介,"[1]《中国图书馆分类法》(第4版)地区复分表的改造[J].周冰,侯汉清.图书馆建设.2009(11)
[2]面向数字环境的《中图法》通用复分表修订思考[J].薛春香,侯汉清.中国图书馆学报.2009(06)
[3]从列举式分类法向组配分类法的转变——试论新版《资料法》的修订特色[J].侯汉清,周冰.图书馆杂志.2002(02)
[4]新版《中图法》通用复分表修订特色[J].周冰.江苏图书馆学报.2000(05)
[5]谈通用环境复分表的编制[J].刘俊,侯汉清.中国图书馆学报.2000(02)
"
论信息素质教育与创新人才培养,"[1]网络环境下大学生的信息素质教育[J].丁文英,周震.图书馆理论与实践.2008(02)
[2]高校图书馆加强大学生信息素质教育创新探讨[J].郭启松,张永军,宋蓓玲.情报杂志.2008(01)
[3]谈高校师生信息素质的培养[J].张世林,吕小明.中国高教研究.2006(05)
[4]当代大学生信息素养教育初探[J].匡晋文,蔡军.高等函授学报(自然科学版).2006(02)
[5]高校图书馆与信息素养教育[J].凌劲.四川教育学院学报.2006(03)
[6]高校信息素质教育发展的基本架构[J].曾晓牧,孙平.中国图书馆学报.2006(02)
[7]高校信息素养教育现状与措施研究[J].胡家荣.图书馆学刊.2006(01)
"
图书馆数据安全漏洞分析,
科技查新质量评价指标体系探讨,"[1]关于查新报告质量评定标准的探讨[J].马景娣,缪家鼎.情报科学.2005(11)
[2]天津市医药卫生科技项目查新咨询质量控制系统[J].郭良玉,刘宝祥,翁铭庆.图书馆工作与研究.2003(03)
[3]查新质量标准研究[J].丁蕴一,王晓原,白素萍,杨雅民,莫迪,陈佳玲.情报学报.1998(04)
[4]查新咨询质量评价指标体系研究——查新咨询质量评价指标的含义及作用[J].杨传瑞,邬能灿.医学情报工作.1996(05)
[5]Qualityassuranceinhealthcare:aconsumer‘srole.DonabedianA.QualityofHealthCar.1992
"
浅谈高校图书馆的公共安全问题和应急机制,"[1]浅谈高校图书馆网络信息安全[J].王贞俭.鲁东大学学报(哲学社会科学版).2008(06)
[2]法律视角中的图书馆窃书问题[J].陈华殿.山东图书馆季刊.2007(04)
[3]试论图书馆火灾防范及紧急应变[J].朱勇.江西图书馆学刊.2006(02)
"
浅析数字图书馆在社会终身教育中扮演的角色,"[1]学习型社会中的终身教育与终身学习[J].刘艳艳,乔丽娟.继续教育研究.2007(06)
[2]当代终身教育发展的现状与趋势[J].邓永庆.教育导刊.2007(11)
[3]终身学习的理想选择：数字图书馆[J].于爱君.林区教学.2006(06)
[4]浅谈终身教育思想[J].曹玉萍,李海燕.科教文汇(下半月).2006(05)
[5]论终身学习与数字图书馆[J].朱华琴.科技情报开发与经济.2004(06)
[6]“充电”者的知识殿堂——数字图书馆[J].骆小婷.现代情报.2004(05)
[7]论终身教育对可持续发展的重要意义[J].王宝萍.彭城职业大学学报.2003(06)
[8]数字化图书馆是终身教育的大学校[J].孙晓兰.江西图书馆学刊.2003(02)
[9]数字图书馆终身学习的重要工具[J].中国远程教育.2003(04)
[10]数字图书馆与终身教育[J].张天俊,刘清珍.科技情报开发与经济.2001(06)
[11]学会生存[M].教育科学出版社,华东师范大学比较教育研究所译,1996
"
数据库的引进与反思——写在CALIS引进数据库十周年之际,"[1]PerceptionsofLibrariesandInformationResources.http:∥www.oclc.org/asiapacific/zhcn/reports/pdfs/Per-ceptall.pd.2005
"
学术论文关键词的概念及标引方法辨析,"[1]科技论文关键词的标引[J].饶华英.武汉科技大学学报(社会科学版).2006(05)
[2]科技论文关键词的析取原则[J].赵志宏.交通运输工程学报.2006(02)
[3]科技论文关键词的编辑加工[J].刘岱伟.编辑学报.2004(02)
[4]关键词标引的若干问题探讨[J].丁春.编辑学报.2004(02)
[5]学术论文的关键词标引[J].杨一琼.大学图书情报学刊.2004(01)
[6]试论学术期刊中关键词的标引[J].孟青.北京工业大学学报(社会科学版).2002(02)
[7]科技论文关键词标引方法的误导必须纠正[J].杨小玲,高鲁山.编辑学报.2002(01)
[8]学术论文关键词标引探析[J].夏传炳.河南图书馆学刊.2001(03)
[9]中文科技论文关键词的标引[J].卢萍,蔡群.广州医学院学报.2000(02)
[10]科技论文的关键词标引[J].周芬娜.编辑之友.1997(03)
"
期刊装订目录的制作以及期刊下架的几点思考,"[1]关于期刊下架装订的几点思考[J].周雯,陈晓.中小学图书情报世界.2007(07)
[2]停止期刊装订,加速期刊流通[J].李砚楼,张永梅.图书馆建设.2005(05)
[3]论图书馆服务的革新与重构[J].倪波,王玲.图书馆杂志.2001(01)
[4]新技术革命与图书馆业务流程重组[J].王立清.图书情报工作.2000(02)
"
江苏高校图书馆开展大学生信息素质教育的调查研究,"[1]林业院校图书馆信息素质教育存在的问题及对策[J].黄玲.图书馆论坛.2007(03)
[2]国内外信息素质教育研究现状及实践情况[J].王丽华.图书馆杂志.2007(02)
[3]高校图书馆在线信息素质教育模式的探讨与研究[J].叶建华.图书馆论坛.2006(02)
[4]农业院校大学生信息素质现状与教育对策[J].赵晓光.安徽农业科学.2006(09)
[5]浙江省高校信息素质教育的现状与发展对策[J].章云兰,颜务林.浙江高校图书情报工作.2006(01)
[6]我国高校信息素质教育的发展、现状分析与改革[J].黄毕惠,陈英,张月天.图书情报工作.2005(11)
[7]国内高校图书馆网上信息素质教育研究[J].詹林.图书馆建设.2005(04)
[8]信息时代高校图书馆与信息素质教育初探[J].易朝玲.图书馆论坛.2005(02)
[9]高校图书馆信息素质教育现状及对策[J].何晓丽,贾志宏.图书馆理论与实践.2000(04)
"
《中文新闻信息分类与代码》复分表评介——兼与《中国图书馆分类法》比较,"[1]从列举式分类法向组配分类法的转变——试论新版《资料法》的修订特色[J].侯汉清,周冰.图书馆杂志.2002(02)
[2]新版《中图法》通用复分表修订特色[J].周冰.江苏图书馆学报.2000(05)
[3]《中文新闻信息分类标准》研究[D].徐曼.武汉大学2005
[4]GB/T20093-2006.中文新闻信息分类与代码[S].2006
"
《中国图书馆分类法》(第4版)地区复分表的改造,"[1]改进《中图法》第四版世界地区表之探讨[J].吴礼志.图书馆杂志.2002(09)
[2]从列举式分类法向组配分类法的转变——试论新版《资料法》的修订特色[J].侯汉清,周冰.图书馆杂志.2002(02)
[3]新版《中图法》通用复分表修订特色[J].周冰.江苏图书馆学报.2000(05)
[4]扩充《中图法》世界地区表类目之探讨[J].董毅士,郑怀丽.情报科学.2000(07)
"
开放存取与高校图书馆的外文期刊工作,"[1]开放存取影响下的图书馆[J].何燕,宁劲.大学图书情报学刊.2007(06)
[2]开放存取与高校图书馆[J].刘桂芳,周建芳.科技情报开发与经济.2007(31)
[3]http://www.earlham.edu/~peters/fos/boaifaq.ht.

"
论高校图书馆如何有效服务于教学与科研,"[1]本科教学资源信息管理与服务系统[M].河海大学出版社,吴胜兴,高新陵主编,2006
"
图书馆特色数据库系统的实现,"[1]数据库系统教程[M].电子工业出版社,王能斌[编著],2002
[2]http://java.sun.com/docs/books/tutorial/
.
[3]http://java.sun.com/javaee/5/docs/tutorial/doc/
.
[4]Oracle9iDBAHandbook.KivenLoney,MarleneTheriault..2002
"
